sthenoId,sthenoName,status,externalId,externalName,confidence,variants,hostedStatus,fallback,notes
"alternating-dumbbell-bench-press","Alternating Dumbbell Bench Press","AMBIGUOUS","100-gym-workouts:0046","dumbbell bench press (bench)","0.82","","pending","true","Candidate requires human review; generated fallback remains active."
"alternating-dumbbell-hammer-curl","Alternating Dumbbell Hammer Curl","AMBIGUOUS","100-gym-workouts:0016","dumbbell hammer curl","0.82","","pending","true","Candidate requires human review; generated fallback remains active."
"assisted-dip-machine","Assisted Dip Machine","UNMATCHED","","","0.46","","pending","true","No credible provider candidate; generated fallback remains active."
"assisted-pull-up-machine","Assisted Pull-Up Machine","AUTO_MATCH","200-workouts:0102","assisted pull up","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"back-extension-45-degree","45-Degree Back Extension","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"band-assisted-chin-up","Band-Assisted Chin-Up","UNMATCHED","","","0.4","","pending","true","No credible provider candidate; generated fallback remains active."
"band-assisted-neutral-pull-up","Band-Assisted Neutral-Grip Pull-Up","UNMATCHED","","","0.428","","pending","true","No credible provider candidate; generated fallback remains active."
"band-overhead-march","Band Overhead March","UNMATCHED","","","0.46","","pending","true","No credible provider candidate; generated fallback remains active."
"band-resisted-march","Band-Resisted March","UNMATCHED","","","0.46","","pending","true","No credible provider candidate; generated fallback remains active."
"banded-biceps-curl","Resistance-Band Biceps Curl","AUTO_MATCH","200-workouts:0161","resistance band biceps curl","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"banded-calf-raise","Banded Calf Raise","UNMATCHED","","","0.5","","pending","true","No credible provider candidate; generated fallback remains active."
"banded-face-pull","Banded Face Pull","AMBIGUOUS","200-workouts:0186","banded pull-apart","0.64","","pending","true","Candidate requires human review; generated fallback remains active."
"banded-floor-press","Resistance-Band Floor Press","AMBIGUOUS","200-workouts:0235","resistance band chest press","0.712","","pending","true","Candidate requires human review; generated fallback remains active."
"banded-glute-bridge","Banded Glute Bridge","AMBIGUOUS","100-workouts:1139","glute bridge","0.76","","pending","true","Candidate requires human review; generated fallback remains active."
"banded-good-morning","Resistance-Band Good Morning","AUTO_MATCH","200-workouts:0274","resistance band good morning","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"banded-lat-pulldown-kneeling","Kneeling Banded Lat Pulldown","UNMATCHED","","","0.52","","pending","true","No credible provider candidate; generated fallback remains active."
"banded-lateral-raise","Banded Lateral Raise","AUTO_MATCH","200-workouts:0285","banded lateral raise","1","default","ready","false","Exact normalized name with compatible equipment and muscle metadata."
"banded-lateral-walk","Banded Lateral Walk","UNMATCHED","","","0.5","","pending","true","No credible provider candidate; generated fallback remains active."
"banded-leg-extension-seated","Banded Seated Leg Extension","UNMATCHED","","","0.5","","pending","true","No credible provider candidate; generated fallback remains active."
"banded-monster-walk","Banded Monster Walk","UNMATCHED","","","0.568","","pending","true","No credible provider candidate; generated fallback remains active."
"banded-overhead-press","Resistance-Band Overhead Press","AMBIGUOUS","200-workouts:0235","resistance band chest press","0.712","","pending","true","Candidate requires human review; generated fallback remains active."
